"","author","title_freq","lang_freq","place_freq"
"713","Mann, Erika",1,1,1
"714","Mannel, Beatrix",4,3,3
"715","Marcus, Martha Sophie",1,1,1
"716","Marinić, Jagoda",1,1,1
"717","Marlitt, E.",15,5,6
"718","Marly, Michelle",14,11,11
"719","Maron, Monika",27,18,23
"720","Martin, Sabine",4,4,4
"721","Martinek, Hilly",1,1,1
"722","Martini, Caro",1,1,1
"723","Martini, Christiane",1,1,1
"724","Martini, Manuela",5,2,2
"725","Materni, Undine",1,1,1
"726","Matsubara, Hisako",2,2,2
"727","Mattes, Eva",1,1,1
"728","Matysiak, Ada Jadwiga",1,1,1
"729","Mauriņa, Zenta",1,1,1
"730","Maxian, Beate",1,1,1
"731","May, Iris",1,1,1
"732","Mayer, Anna-Elisabeth",3,3,3
"733","Mayer, Gina",3,3,3
"734","Mayer, Lisa",1,1,1
"735","Mayröcker, Friederike",36,14,27
"736","Mazzi, Lisa",1,1,1
"737","McClean, Katrin",3,3,3
"738","Mead, Ruth",1,1,1
"739","Mechtel, Angelika",2,2,2
"740","Meerbaum-Eisinger, Selma",3,3,3
"741","Meier, Angelika",1,1,1
"742","Meier, Beatrice",4,2,4
"743","Meier, Gisela",2,1,1
"744","Meier, Helen",1,1,1
"745","Melzer-Geissler, Elisabeth",1,1,1
"746","Menasse, Eva",21,11,13
"747","Mennen, Patricia",1,1,1
"748","Merchant, Judith",1,1,1
"749","Merks-Krahforst, Martina",6,1,1
"750","Messner, Elena",1,1,1
"751","Meuser, Natascha",1,1,1
"752","Meyer-Dietrich, Inge",1,1,1
"753","Michaelis, Antonia",1,1,1
"754","Mikeleitis, Edith",1,1,1
"755","Milanovic-Jelić, Jasna",1,1,1
"756","Milch-Sheriff, Ella",1,1,1
"757","Miller, Alice",1,1,1
"758","Miller, Rebecca",1,1,1
"759","Minelli, Michèle",2,2,2
"760","Mineva, Todorka",1,1,1
"761","Mingels, Annette",1,1,1
"762","Miranda, Carmen",1,1,1
"763","Mischke, Susanne",2,2,2
"764","Mitgutsch, Anna",17,6,8
"765","Mitterer, Erika",4,2,4
"766","Mohafez, Sudabeh",2,2,2
"767","Molinari, Gianna",3,3,3
"768","Molli-Boffa, Laura",1,1,1
"769","Molling, Herlinde",1,1,1
"770","Moníková, Libuše",16,9,10
"771","Mora, Terézia",28,20,21
"772","Morese, Maria Carmen",2,1,1
"773","Morgan, Kathleen",1,1,1
"774","Morgner, Irmtraud",2,2,2
"775","Morrison, Toni",2,1,1
"776","Morrissey, Di",1,1,1
"777","Morsbach, Petra",3,3,3
"778","Moser, Milena",22,8,11
"779","Mothes, Ulla",1,1,1
"780","Mückain, Johanna",1,1,1
"781","Mucker-Frimmel, Gerda",1,1,1
"782","Muhr, Ursula",1,1,1
"783","Müller-Nienstedt, Irma",2,2,2
"784","Müller-Ott, Dorothea",1,1,1
"785","Müller, Catrin",1,1,1
"786","Müller, Eva",1,1,1
"787","Müller, Herta",198,38,60
"788","Müller, Katharina",1,1,1
"789","Müller, Vanessa Joan",1,1,1
"790","Müllerová, Lucie",10,7,3
"791","Mulot, Sibylle",4,4,4
"792","Munina, N. Ju.",1,1,1
"793","Münzer, Hanni",8,6,6
"794","Muskała, Monika",1,1,1
"795","Nadj Abonji, Melinda",10,10,10
"796","Nagel, Elke",1,1,1
"797","Nagele, Andrea",2,1,1
"798","Navasardyan, Hermine",1,1,1
"799","Nejusch",1,1,1
"800","Nelken, Dinah",1,1,1
"801","Nestvold, Ruth",1,1,1
"802","Netzel, Rebecca",2,1,1
"803","Neubauer, Nicole",2,2,2
"804","Neuhaus, Nele",141,25,37
"805","Neumann, Ronnith",1,1,1
"806","Nick, Dagmar",2,2,2
"807","Nieto Silva, Eva",4,1,1
"808","Nigg, Iren",2,2,2
"809","Nikolʹska, Mėri",1,1,1
"810","Nikolai, Maria",2,1,1
"811","Nilon, Valerie",3,2,1
"812","Noack, Barbara",1,1,1
"813","Noll, Ingrid",86,21,27
"814","Norris, Sigrid",1,1,1
"815","Nöstlinger, Christine",5,4,4
"816","Nová, Petra",1,1,1
"817","Novak, Helga M.",3,3,3
"818","Nowak-Kreyer, Maciej",1,1,1
"819","Nürnberg, Dorothea",1,1,1
"820","Nuyen, Jenny-Mai",2,2,2
"821","Oates, Joyce Carol",1,1,1
"822","Oberthür, Irene",1,1,1
"823","Obexer, Margareth",1,1,1
"824","Oelker, Petra",5,3,3
"825","Oeste de Bopp, Marianne",1,1,1
"826","Ohlbaum, Isolde",1,1,1
"827","Oleschinski, Brigitte",3,3,3
"828","Olvedi, Ulli",2,2,2
"829","Onink-Middelbeek, Evelyn",1,1,1
"830","Oppenheim, Meret",3,3,3
"831","Orczy, Emmuska",1,1,1
"832","Ortwein, Barbara",2,1,1
"833","Oskamp, Katja",1,1,1
"834","Ossowski, Leonie",1,1,1
"835","Oster, Jutta",3,2,2
"836","Ostertag, Silvia",2,2,2
"837","Overath, Angelika",4,3,3
"838","Pajunen, Jukka-Pekka",2,1,1
"839","Palmer, Lilli",6,4,4
"840","Paluch, Andrea",1,1,1
"841","Panzer, Marita A.",1,1,1
"842","Pappenheim, Bertha",1,1,1
"843","Paprotta, Astrid",4,4,4
"844","Parei, Inka",15,11,11
"845","Parise, Claudia C.",3,1,1
"846","Pásztor, Susann",5,5,5
"847","Pataki, Heidi",1,1,1
"848","Pátková, Eva",1,1,1
"849","Paul, Christiane",1,1,1
"850","Paul, Fritzi",1,1,1
"851","Pauly, Gisa",1,1,1
"852","Paura, Martina",5,4,4
"853","Pausewang, Gudrun",5,4,4
"854","Peaston, Angelika",1,1,1
"855","Pedretti, Erica",5,3,5
"856","Peetz, Monika",62,20,25
"857","Pehnt, Annette",5,3,3
"858","Perlet, Gisela",2,1,1
"859","Person, Jutta",1,1,1
"860","Peter, Rita",1,1,1
"861","Peters, Julie",1,1,1
"862","Peters, Pauline",7,5,5
"863","Peters, Veronika",1,1,1
"864","Petersmann, Konstanze",1,1,1
"865","Petery, Constanze",1,1,1
"866","Petri-Sutermeister, Bolette",1,1,1
"867","Petrowskaja, Katja",19,16,18
"868","Petry, Renata",1,1,1
"869","Pfister, Astrid",1,1,1
"870","Philipps, Carolin",1,1,1
"871","Phillips, Susan Elizabeth",1,1,1
"872","Piazza, Barbara",1,1,1
"873","Pieper, Katharina",1,1,1
"874","Pisa, Maria Regina",1,1,1
"875","Pluhar, Erika",1,1,1
"876","Pohl, Hertha",1,1,1
"877","Polt-Heinzl, Evelyne",1,1,1
"878","Popa, Adrianne Hermina",1,1,1
"879","Popescu, Adriana",3,2,2
"880","Poppe, Grit",1,1,1
"881","Poppe, Ine",1,1,1
"882","Porath, Silke",1,1,1
"883","Poschmann, Marion",14,11,13
"884","Potente, Franka",1,1,1
"885","Poznanski, Ursula",42,14,18
"886","Präauer, Teresa",1,1,1
"887","Prachatická, Markéta",1,1,1
"888","Pressler, Mirjam",3,3,3
"889","Proensa, Katrin",5,2,1
"890","Profijt, Jutta",12,1,3
"891","Pulver, Elsbeth",1,1,1
"892","Raabe, Melanie",37,18,22
"893","Radziszewska, Krystyna",1,1,1
"894","Rakusa, Ilma",14,10,11
"895","Ramadan, Jasmin",2,2,2
"896","Randl, Lola",1,1,1
"897","Rapp, Stephanie",1,1,1
"898","Rasp, Renate",1,1,1
"899","Rathenböck, Elisabeth Vera",1,1,1
"900","Razumovsky, Dorothea",1,1,1
"901","Reategui, Petra",1,1,1
"902","Regensburger, Annemarie",1,1,1
"903","Regnier, Sandra",1,1,1
"904","Regoli, Uta",1,1,1
"905","Rehn, Heidi",5,2,2
"906","Reichart, Elisabeth",1,1,1
"907","Reiche, Claudia",1,1,1
"908","Reider, Katja",20,16,15
"909","Reimann, Brigitte",6,4,5
"910","Reimer, Elisabeth",1,1,1
"911","Reiner, Traudl",3,3,3
"912","Reinerová, Lenka",8,2,2
"913","Reinig, Christa",1,1,1
"914","Reinshagen, Gerlind",2,2,2
"915","Reinwarth, Alexandra",3,1,1
"916","Reitzer, Angelika",1,1,1
"917","Remp, Marietta",1,1,1
"918","Renk, Ulrike",1,1,1
"919","Reschke, Karin",3,2,3
"920","Reski, Petra",1,1,1
"921","Reuter, Gabriele",1,1,1
"922","Ribas, Rosa",1,1,1
"923","Rice, Anne",1,1,1
"924","Richling, Sabine",3,1,2
"925","Richter, Jutta",11,8,10
"926","Rick, Karin",2,1,2
"927","Rick, Susanne",1,1,1
"928","Riebe, Brigitte",25,7,8
"929","Riedel, Susanne",1,1,1
"930","Rieks, Josefine",1,1,1
"931","Rinck, Monika",3,3,3
"932","Ringena, Hanna",1,1,1
"933","Rinser, Luise",19,10,12
"934","Roberts, Aileen P.",1,1,1
"935","Roche, Charlotte",35,19,23
"936","Rodik, Belinda",4,4,4
"937","Rodrian, Irene",1,1,1
"938","Roggenkamp, Viola",2,2,2
"939","Röggla, Kathrin",5,5,5
"940","Ronzoni, Michaela",1,1,1
"941","Rosenfeld, Astrid",11,9,10
"942","Rosenfeld, Ruth",1,1,1
"943","Ross, Stefanie",3,1,1
"944","Roßbacher, Verena",1,1,1
"945","Rotenberg, Stella",1,1,1
"946","Roth, Anna",1,1,1
"947","Roth, Charlotte",1,1,1
"948","Roth, Silvia",1,1,1
"949","Rottensteiner, Anna",1,1,1
"950","Royová, Kristína",11,1,2
"951","Rühle-Gerstel, Alice",1,1,1
"952","Rygiert, Beate",1,1,1
"953","Rylance, Ulrike",2,2,2
"954","Sachau, Ursula",1,1,1
"955","Sachs, Nelly",19,12,14
"956","Sahler, Martina",1,1,1
"957","Sakamoto, Miki",4,4,4
"958","Saladin, Barbara",1,1,1
"959","Salzmann, Marianna",12,10,11
"960","Samur-Kajin",1,1,1
"961","Sandberg, Ellen",1,1,1
"962","Sander, Helke",2,2,2
"963","Sander, Karen",9,4,4
"964","Sanders, Norah",2,1,1
"965","Sandig, Ulrike Almut",2,2,2
"966","Sandmann, Nina",2,1,1
"967","Sauer, Beate",1,1,1
"968","Saunders, Kate",2,2,2
"969","Schacht, Andrea",8,3,4
"970","Schalansky, Judith",21,18,19
"971","Schawerda, Elisabeth",1,1,1
"972","Scheer, Regina",1,1,1
"973","Scheffel, Annika",1,1,1
"974","Scheib, Asta",2,2,2
"975","Scheibler, Susanne",3,2,2
"976","Schenk, Sylvie",3,3,3
"977","Schenkel, Andrea Maria",33,16,16
"978","Scheuermann, Silke",16,10,11
"979","Schiefer, Josefina",1,1,1
"980","Schier, Petra",1,1,1
"981","Schimmel, Annemarie",1,1,1
"982","Schlag, Evelyn",2,2,2
"983","Schlink, Basilea",1,1,1
"984","Schmid, Esther",1,1,1
"985","Schmid, Sophie",1,1,1
"986","Schmidgall, Renate",1,1,1
"987","Schmidt-Eller, Berta",2,2,2
"988","Schmidt, Cornelia",2,2,2
"989","Schmidt, Kathrin",12,11,12
"990","Schmidt, Nadu",1,1,1
"991","Schmidt, Petra",2,2,2
"992","Schmidt, Rosa",1,1,1
"993","Schmitter, Elke",15,12,12
"994","Schneider, Hanna",1,1,1
"995","Schneider, Simone",1,1,1
"996","Schneiders, Ulrike",1,1,1
"997","Schnyder, Monika",1,1,1
"998","Schoch, Julia",1,1,1
"999","Schoder, Sabine",2,2,2
"1000","Schoenle, Annemarie",1,1,1
"1001","Schoof, Renate",1,1,1
"1002","Schopenhauer, Johanna",1,1,1
"1003","Schrader, Maria",1,1,1
"1004","Schramm, Karin",1,1,1
"1005","Schreiber-Wicke, Edith",1,1,1
"1006","Schreiber, Claudia",14,9,10
"1007","Schreiber, Karoline",1,1,1
"1008","Schreiner, Margit",1,1,1
"1009","Schriber, Margrit",3,3,3
"1010","Schrobsdorff, Angelika",3,2,2
"1011","Schröder-Devrient, Wilhelmine",8,6,5
"1012","Schrödter, Sybille",1,1,1
"1013","Schulz-Berlinghoff, Nadja",1,1,1
"1014","Schulz-Reiss, Christine",1,1,1
"1015","Schulz, Paulina",1,1,1
"1016","Schumann, Anneliese",1,1,1
"1017","Schuster, Gaby",3,2,2
"1018","Schuster, Ute AnneMarie",1,1,1
"1019","Schutti, Carolina",3,3,3
"1020","Schwaiger, Brigitte",1,1,1
"1021","Schwartz, Gesa",2,1,1
"1022","Schwarz, Andrea",6,3,3
"1023","Schwarz, Annelies",1,1,1
"1024","Schwarz, Michaela",1,1,1
"1025","Schwarzenbach, Annemarie",14,6,11
"1026","Schweikert, Ruth",2,2,2
"1027","Schweikert, Ulrike",5,5,5
"1028","Schwerdtfeger, Malin",3,2,2
"1029","Schwindt, Barbara",1,1,1
"1030","Schwitter, Monique",6,6,6
"1031","Seck-Agthe, Monika",1,1,1
"1032","Sedehi, Sara",1,1,1
"1033","Seebacher, Katrin",1,1,1
"1034","Seedler, Anija",1,1,1
"1035","Seghers, Anna",51,14,26
"1036","Segler, Tina",9,1,1
"1037","Seidenstricker, Iris",1,1,1
"1038","Seifert, Dagmar",2,1,1
"1039","Sela, Petra",1,1,1
"1040","Selinko, Annemarie",6,5,5
"1041","Servicen, Louise",1,1,1
"1042","Seuffert, Barbara",1,1,1
"1043","Seydlitz, Lisa-Maria",2,2,2
"1044","Shakib, Siba",9,6,7
"1045","Sicińska, Edyta",2,1,1
"1046","Sieber, Regula",1,1,1
"1047","Siege, Nasrin",1,1,1
"1048","Simon, Teresa",4,2,2
"1049","Simon, Vera",2,2,2
"1050","Singer, Lea",4,4,4
"1051","Sofronieva, Tzveta",1,1,1
"1052","Sölle, Dorothee",1,1,1
"1053","Sommer-Bodenburg, Angela",7,7,7
"1054","Sommerkamp, Sabine",1,1,1
"1055","Specht, Kerstin",3,2,2
"1056","Spilling-Nöker, Christa",9,2,3
"1057","Spira, Mela",1,1,1
"1058","Spiridon, Olivia",1,1,1
"1059","Stamer, Barbara",1,1,1
"1060","Stanovská, Sylvie",1,1,1
"1061","Starling, Isobel",1,1,1
"1062","Steel, Danielle",1,1,1
"1063","Stefan, Verena",2,2,2
"1064","Steff",6,1,1
"1065","Stein, Johanna",1,1,1
"1066","Stein, Susanne",1,1,1
"1067","Steinberger, Niccel",1,1,1
"1068","Steinwendtner, Brita",1,1,1
"1069","Stenglein, Nadine",1,1,1
"1070","Stephan-Kühn, Freya",1,1,1
"1071","Sternberg, Emma",7,2,2
"1072","Stewner, Tanya",1,1,1
"1073","Stocker, Darja",1,1,1
"1074","Stojka, Ceija",1,1,1
"1075","Storks, Bettina",1,1,1
"1076","Stössinger, Verena",1,1,1
"1077","Streeruwitz, Marlene",11,8,9
"1078","Stricker, Sarah",1,1,1
"1079","Strittmatter, Eva",3,3,3
"1080","Stroheker, Tina",2,2,2
"1081","Strubel, Antje Rávic",6,6,6
"1082","Stürzer, Anja",2,2,2
"1083","Sulṭānī, Katāyūn",1,1,1
"1084","Suominen, Oili",2,1,1
"1085","Sutcliff, Rosemary",1,1,1
"1086","Sydow, Marianne",9,1,1
"1087","Syha, Ulrike",1,1,1
"1088","Sylva, Carmen",1,1,1
"1089","Tannert, Mary W.",1,1,1
"1090","Tartler, Grete",1,1,1
"1091","Taschler, Judith W.",1,1,1
"1092","Tatlock, Lynne",1,1,1
"1093","Taubitz, Monika",3,1,1
"1094","Tawada, Yōko",14,8,9
"1095","Taylor, Kathryn",54,12,16
"1096","Tempel, Katrin",2,1,1
"1097","Tergit, Gabriele",3,3,3
"1098","Thiesler, Sabine",27,11,13
"1099","Thomas, Adrienne",4,3,2
"1100","Thomas, Charlotte",2,2,2
"1101","Thomas, Helga",3,1,1
"1102","Thompson, Carlene",1,1,1
"1103","Thorn, Ines",9,2,4
"1104","Thüminger, Rosmarie",1,1,1
"1105","Thurmann-Jajes, Anne",1,1,1
"1106","Tielsch, Ilse",5,3,4
"1107","Timmermann, Annette",1,1,1
"1108","Torossi, Eleni",1,1,1
"1109","Torsten, Helga",2,1,1
"1110","Toskani, Anina",1,1,1
"1111","Tossing, Gudrun",1,1,1
"1112","Traczewska, Maria",1,1,1
"1113","Treiber, Jutta",2,2,2
"1114","Trodler, Dagmar",2,1,1
"1115","Trott, Magda",1,1,1
"1116","Trützschler von Falkenstein, Eugenie",1,1,1
"1117","Tuckermann, Anja",2,2,2
"1118","Tüne, Anna",1,1,1
"1119","Uebel, Tina",1,1,1
"1120","Ullmann, Regina",3,3,3
"1121","Ulrich, Ingeborg",1,1,1
"1122","Uzunoglu-Ocherbauer, Adelheid",2,2,2
"1123","Vandenberg, Patricia",34,2,2
"1124","Vanderbeke, Birgit",47,19,21
"1125","Veloso, Ana",6,4,4
"1126","Vermalle, Caroline",2,2,2
"1127","Viebig, Clara",1,1,1
"1128","Viesèr, Dolores",1,1,1
"1129","Vigliani, Ada",1,1,1
"1130","Vilar, Esther",7,5,6
"1131","Viragh, Christina",2,2,2
"1132","Vízdalová, Ivana",3,1,2
"1133","Vollenbruch, Astrid",2,1,1
"1134","Völler, Eva",7,4,4
"1135","Voß, Tina",1,1,1
"1136","Vosseler, Nicole C.",20,8,9
"1137","Wajsbrot, Cécile",1,1,1
"1138","Walden, Laura",18,5,5
"1139","Walke, Susan",1,1,1
"1140","Wallrafen, Jutta",1,1,1
"1141","Walser, Alissa",12,8,10
"1142","Walser, Johanna",2,1,2
"1143","Walser, Theresia",3,2,3
"1144","Walter, Gabriele",1,1,1
"1145","Walter, Nicole",1,1,1
"1146","Walter, Patricia",1,1,1
"1147","Wambrechtsamer, Anna",3,1,3
"1148","Wanner, Heike",2,1,1
"1149","Wassermann, Sabine",2,1,2
"1150","Waters, Shirley",3,2,2
"1151","Weber, Anne",2,2,2
"1152","Weber, Ilse",1,1,1
"1153","Weber, Renate",1,1,1
"1154","Weidenfeld, Nathalie",1,1,1
"1155","Weil, Grete",7,4,5
"1156","Weissberg, Nea",1,1,1
"1157","Welp, Anette",1,1,1
"1158","Welsh, Renate",5,5,5
"1159","Welskopf-Henrich, Liselotte",3,1,1
"1160","Weng, Joan",1,1,1
"1161","Werth, Babette",1,1,1
"1162","Wetzel, Maike",2,1,2
"1163","Weve, Sylvia",1,1,1
"1164","Wich, Henriette",1,1,1
"1165","Widiarto, Ingrid",1,1,1
"1166","Wieland, Ursula",1,1,1
"1167","Wienbruch, Anny",1,1,1
"1168","Wieners, Annette",3,1,1
"1169","Wilms, Anila",1,1,1
"1170","Wilpert, Bettina",1,1,1
"1171","Wiltenburg, Joy",1,1,1
"1172","Winiewicz, Lida",1,1,1
"1173","Winkler, Katharina",6,5,6
"1174","Winkler, Mechthild",1,1,1
"1175","Winsloe, Christa",1,1,1
"1176","Winter, Judith",1,1,1
"1177","Winter, Lena",2,1,1
"1178","Winter, Sophie",1,1,1
"1179","Winterberg, Liv",1,1,1
"1180","Wittmer, Irina",1,1,1
"1181","Wittpennig, Susanne",1,1,1
"1182","Wodin, Natascha",11,8,9
"1183","Wohmann, Gabriele",5,3,4
"1184","Wojnakowska-Jabłońska, Paulina",1,1,1
"1185","Wolf, Christa",154,33,51
"1186","Wolf, Doris",1,1,1
"1187","Wolf, Julia",1,1,1
"1188","Wolf, Uljana",1,1,1
"1189","Wolf, Victoria",1,1,1
"1190","Wolfrum, Christine",1,1,1
"1191","Wood, Barbara",1,1,1
"1192","Woolf, Marah",3,1,2
"1193","Wörishöffer, Sophie",1,1,1
"1194","Wright, Chantal",1,1,1
"1195","Wunnicke, Christine",4,2,4
"1196","Zeh, Juli",99,31,41
"1197","Zeiner, Monika",1,1,1
"1198","Zeller, Eva",1,1,1
"1199","Zemme, Ulrike",1,1,1
"1200","Ziegler, Claudia",1,1,1
"1201","Zietsch, Uschi",7,1,1
"1202","Zimmer, Anja",1,1,1
"1203","Zimmermann, Katharina",1,1,1
"1204","Zimny, Margit",1,1,1
"1205","Zinn, Dorit",2,2,2
"1206","Żmij-Zielińska, Danuta",1,1,1
"1207","Zoeke, Barbara",2,2,2
"1208","Zöllner, Angelika",1,1,1
"1209","Zürn, Unica",17,6,8
"1210","Zweig, Stefanie",42,12,19
