"","author","title_freq","lang_freq","place_freq"
"164","Cactus, Françoise",1,1,1
"165","Çakır, Seher",1,1,1
"166","Calonego, Bernadette",2,1,2
"167","Can, Safiye",1,1,1
"168","Canetti, Veza",17,9,12
"169","Cantieni, Monica",5,5,4
"170","Cao, Hélène",1,1,1
"171","Capitani, Sabrina",1,1,1
"172","Car, Milka",1,1,1
"173","Caradec, Odile",1,1,1
"174","Carr, Robyn",1,1,1
"175","Carstens, Carola",1,1,1
"176","Caspari, Sofia",17,6,6
"177","Cavazzini, Christiane",7,1,1
"178","Cavelius, Alexandra",2,2,2
"179","Cazon, Christine",1,1,1
"180","Ch'ae, Un-jŏng",1,1,1
"181","Chadžieva, Despina",1,1,1
"182","Challis, Sarah",1,1,1
"183","Chaplet, Anne",5,2,2
"184","Charon, Daria",6,3,3
"185","Chatzētzanu-Baltcharnt, Elenē",1,1,1
"186","Chen, Wei",1,1,1
"187","Chiarloni, Anna",1,1,1
"188","Christie, Agatha",2,1,1
"189","Cohn, Leah",1,1,1
"190","Coler, Hannah",1,1,1
"191","Conrad, Julia",5,2,3
"192","Constantine, Helen",1,1,1
"193","Cordes-Vollert, Doris",1,1,1
"194","Cortés, Helena",1,1,1
"195","Cotten, Ann",1,1,1
"196","Courant, Maria",1,1,1
"197","Courths-Mahler, Hedwig",374,9,18
"198","Cramer von Clausbruch, Adelheid",1,1,1
"199","Cramer, Doris",1,1,1
"200","Cramer, Sofie",1,1,1
"201","Cullen, July",1,1,1
"202","Czernin, Monika",1,1,1
"203","Czurda, Elfriede",2,2,2
"204","Dal Poggetto, Manuela",1,1,1
"205","Danella, Utta",21,6,10
"206","Dānišwar, Sīmīn",1,1,1
"207","Danius, Sara",1,1,1
"208","Dannhorn, Joung-Ja",1,1,1
"209","Davydova, B.",2,1,1
"210","De Cesco, Federica",4,4,4
"211","De Lombaert, Anja",3,1,1
"212","Dehe, Astrid",1,1,1
"213","Deitmer, Sabine",5,3,3
"214","Delblanc, Aimée",1,1,1
"215","Demetz, Hanna",1,1,1
"216","Demirkan, Renan",5,4,4
"217","Demski, Eva",2,2,2
"218","Denić, Bojana",2,1,1
"219","Deutsch, Gitta",1,1,1
"220","DiCarmen, Sonju",1,1,1
"221","Dickow, Barbara",1,1,1
"222","Dieckmann, Dorothea",5,4,5
"223","Diehl, Sarah",1,1,1
"224","Dietmann, Ulrike",2,1,1
"225","Dische, Irene",5,4,4
"226","Dischereit, Esther",1,1,1
"227","Dittrich, Sabine",1,1,1
"228","Döbrich, Annette",1,1,1
"229","Doehnert, Rodica",1,1,1
"230","Doelman, Elke",2,1,1
"231","Dohm, Hedwig",1,1,1
"232","Doll, Georgia",1,1,1
"233","Domin, Hilde",12,10,12
"234","Doppagne, Brigitte",1,1,1
"235","Dorian, Ada",1,1,1
"236","Dorn, Anne",1,1,1
"237","Dorn, Thea",6,3,4
"238","Dörrie, Doris",47,19,23
"239","Doubek, Katja",1,1,1
"240","Doyle, Virginia",3,2,2
"241","Draesner, Ulrike",2,2,2
"242","Dragnić, Nataša",28,22,23
"243","Dražić, Relja",1,1,1
"244","Dreichlinger, Vera",1,1,1
"245","Drews, Christine",7,5,6
"246","Dreymüller, Cecilia",1,1,1
"247","Dribbusch, Barbara",1,1,1
"248","Dröscher, Daniela",1,1,1
"249","Dübgen, Hannah",1,1,1
"250","Dückers, Tanja",6,4,5
"251","Dulleck, Nina",1,1,1
"252","Duncker, Dora",1,1,1
"253","Dürr, Carola",1,1,1
"254","Durst-Benning, Petra",32,5,7
"255","Dutli-Rutishauser, Maria",2,1,2
"256","Duve, Karen",24,12,13
"257","Dziewas, Dorothee",1,1,1
"258","Ebert, Sabine",26,5,5
"259","Ebner, Jeannie",1,1,1
"260","Echerer, Mercedes",2,1,1
"261","Eden, Jasmin",1,1,1
"262","Edschmid, Ulrike",3,3,3
"263","Ehrlich, Anna",1,1,1
"264","Eichel, Christine",1,1,1
"265","Eichinger, Rosemarie",1,1,1
"266","Eismann, Beate",1,1,1
"267","Ekert-Rotholz, Alice",2,2,2
"268","El'kind, Nelli",2,2,1
"269","Ellert, Gerhart",2,2,2
"270","Elmiger, Dorothee",7,5,5
"271","Engel, Kathinka",2,1,1
"272","Ensafpour, Nahid",1,1,1
"273","Erb, Elke",3,3,3
"274","Erdheim, Claudia",3,2,2
"275","Ernst, Ingrid",1,1,1
"276","Ernst, Susanna",1,1,1
"277","Erpenbeck, Charlotte",1,1,1
"278","Erpenbeck, Jenny",73,26,35
"279","Esterl, Arnica",2,2,2
"280","Fabian, Sandra",3,1,1
"281","Faerber, Regina",1,1,1
"282","Falk, Rita",17,7,8
"283","Fallwickl, Mareike",2,1,1
"284","Faro, Marlene",1,1,1
"285","Faschinger, Lilian",23,15,17
"286","Faschon, Susanne",1,1,1
"287","Fassbinder, Helga",1,1,1
"288","Fast, Christa",1,1,1
"289","Federico, Carla",3,2,3
"290","Feehan, Christine",1,1,1
"291","Felix, D. S.",1,1,1
"292","Felten, Monika",2,2,2
"293","Fendt, Janet",1,1,1
"294","Ferolli, Beatrice",1,1,1
"295","Feyl, Renate",1,1,1
"296","Fischer-Rizzi, Susanne",1,1,1
"297","Fischer, Erica",3,3,3
"298","Fischer, Marie Louise",43,11,14
"299","Fischer, Natalie",1,1,1
"300","Fischer, Rena",1,1,1
"301","Fitzgerald, Penelope",1,1,1
"302","Flašar, Milena Michiko",14,11,12
"303","Fleißer, Marieluise",4,4,4
"304","Fleming, Griseldis",1,1,1
"305","Flint, Sarah",1,1,1
"306","Flöss, Helene",1,1,1
"307","Flynn, Gillian",1,1,1
"308","Förg, Nicola",1,1,1
"309","Forstmaier, Rosemarie",1,1,1
"310","Fortunas, Hede",1,1,1
"311","Franck, Julia",54,28,30
"312","Franke, Ruth",1,1,1
"313","Franke, Sabina",1,1,1
"314","Franz, Aisha",1,1,1
"315","Franz, Cornelia",1,1,1
"316","French, Tana",2,1,1
"317","Freudenthaler, Laura",3,2,2
"318","Frey, Eleonore",5,3,3
"319","Fricke, Lucy",2,2,2
"320","Fried, Amelie",4,2,4
"321","Friedrich, Anna",2,1,1
"322","Frischmuth, Barbara",11,8,9
"323","Fritsch, Valerie",3,3,3
"324","Fritz, Marianne",3,2,3
"325","Fröhlich, Alexandra",2,1,2
"326","Fröhlich, Susanne",11,8,8
"327","Frohmann, Christiane",1,1,1
"328","Früh, Sigrid",3,2,3
"329","Fuchs, Signe Anita",2,1,1
"330","Funk, Mirna",1,1,1
"331","Funke, Cornelia",2,2,2
"332","Fürstenberg, Paula",1,1,1
"333","Fussenegger, Gertrud",2,2,2
"334","Fux, Christiane",1,1,1
"335","Gablé, Rebecca",7,5,5
"336","Gaponenko, Marjana",5,5,5
"337","Gehm, Franziska",1,1,1
"338","Geißler, Heike",3,3,3
"339","George, Nina",51,24,30
"340","Gercke, Doris",18,6,8
"341","Gerdom, Susanne",1,1,1
"342","Gerlof, Kathrin",1,1,1
"343","Gerner-Haudum, Gabriele",1,1,1
"344","Gerold, Susanne",1,1,1
"345","Gerritsen, Tess",1,1,1
"346","Gerstenberg, Franziska",2,2,2
"347","Gerstl, Elfriede",1,1,1
"348","Gesthuysen, Anne",6,5,5
"349","Giampietro, Nicoletta",2,2,2
"350","Gier, Kerstin",43,17,22
"351","Girard, Agnès",1,1,1
"352","Glaesener, Helga",2,1,1
"353","Glaser, Brigitte",6,2,3
"354","Glen, Joanna",1,1,1
"355","Gmeyner, Anna",2,2,2
"356","Goeb-Kümmel, Christine",2,1,1
"357","Goga-Klinkenberg, Susanne",12,4,5
"358","Gogoll, Ruth",2,2,2
"359","Gohl, Christiane",1,1,1
"360","Goldstein, Barbara",9,5,5
"361","Gomes, Chris",1,1,1
"362","Gomringer, Nora",5,5,5
"363","Gonserowski, Annette",1,1,1
"364","Gorelik, Lena",2,2,2
"365","Görres, Ida Friederike",1,1,1
"366","Gottsched, Luise Adelgunde Victorie",1,1,1
"367","Graf-Riemann, Lisa",2,1,2
"368","Grän, Christine",10,4,4
"369","Greifeneder, Anke",3,3,3
"370","Griesbach, Corinna",1,1,1
"371","Grigorcea, Dana",3,3,3
"372","Grill, Evelyn",5,3,5
"373","Gringel, Dana",1,1,1
"374","Grjasnowa, Olga",18,13,15
"375","Gröschner, Annett",2,2,2
"376","Groß, Claudia",5,5,5
"377","Grube, Tina",14,7,8
"378","Gruber, Sabine",5,4,4
"379","Gruenter, Undine",3,1,2
"380","Grundmann, Harriet",2,1,1
"381","Grünzweig, Dorothea",1,1,1
"382","Guggenheim, Alexandra",3,3,3
"383","Güngör, Dilek",1,1,1
"384","Günther, Agnes",1,1,1
"385","Haas, Agnieszka",1,1,1
"386","Hacker, Katharina",16,13,14
"387","Haderlap, Maja",10,9,10
"388","Hagena, Katharina",36,21,23
"389","Hahn, Anna Katharina",1,1,1
"390","Hahn, Nikola",1,1,1
"391","Hahn, Ulla",6,5,5
"392","Haidegger, Christine",1,1,1
"393","Haifisch, Anna",1,1,1
"394","Halbe-Bauer, Ulrike",1,1,1
"395","Halicka, Beata",1,1,1
"396","Hammer, Agnes",1,1,1
"397","Hammesfahr, Petra",54,17,25
"398","Händl, Claudia",1,1,1
"399","Hanika, Beate Teresa",7,6,6
"400","Hanika, Iris",10,9,9
"401","Hanika, Tanja",1,1,1
"402","Hannig, Theresa",1,1,1
"403","Hansen, Dagmar",1,1,1
"404","Hansen, Dörte",14,11,11
"405","Haratischwili, Nino",17,9,12
"406","Haring, Roswitha",3,3,2
"407","Harksen, Verena Charlotte",1,1,1
"408","Harriet, Elisabeth-Joe",1,1,1
"409","Hartlieb, Petra",8,6,7
"410","Harvey, Sarah",1,1,1
"411","Haslehner-Götz, Elfriede",1,1,1
"412","Hasler, Eveline",15,6,10
"413","Hassler, Silke",1,1,1
"414","Hastings, Susan",1,1,1
"415","Haucke, Ursula",2,2,2
